RoundId,GolferId,OneTimeCourseYN,ConfigId,TeeColourId,DateOfRound,DailyRoundNumber,EntryMode,PuttsEnteredYN,StatsEnteredYN,HolesPlayed,RoundRating,RoundSlope,CourseNameLong,CourseNameShort,ConfigNameLong,ConfigNameShort,TeeColour,GrossScore,GrossAdjustedScore,NetScore,CoursePar,Differential,RoundOldIndex,RoundCourseHandicap,RoundNewIndex,TournamentRoundYN,HandicapRoundYN,Comment,FeesPaid,WagersWonLost,CourseFamiliarYN
1,3,FALSE,11,3,6/12/1993,11,H,TRUE,FALSE,18,71.3000030517578,132,Meadow Glen Golf Club,Meadow Glen,XXXXXX,XXXXXX,Blue,86,85,86,72,11.6999998092651,0,0,11.1999998092651,FALSE,TRUE,xxxxx,45.00,5.00,FALSE
2,3,FALSE,15,17,6/20/1993,11,H,TRUE,FALSE,18,61.2999992370605,94,Velvet Lake Golf Club,Velvet Lake,XXXXXX,XXXXXX,White,79,79,70,64,21.2999992370605,11.1999998092651,9,11.1999998092651,FALSE,TRUE,xxxxx,50.00,10.00,FALSE
3,3,FALSE,11,3,7/3/1993,11,H,TRUE,FALSE,18,71.3000030517578,132,Meadow Glen Golf Club,Meadow Glen,XXXXXX,XXXXXX,Blue,77,77,64,72,4.90000009536743,11.1999998092651,13,4.69999980926514,FALSE,TRUE,xxxxx,55.00,-5.00,FALSE
4,3,FALSE,16,3,7/31/1993,11,H,TRUE,FALSE,18,70.0999984741211,121,High Plains Golf Club,High Plains,XXXXXX,XXXXXX,Blue,86,86,81,71,14.8000001907349,4.69999980926514,5,4.69999980926514,FALSE,TRUE,xxxxx,35.00,20.00,FALSE
5,3,FALSE,14,2,8/28/1993,11,H,TRUE,FALSE,18,72.5,133,River Bend Golf Club,River Bend,XXXXXX,XXXXXX,Black,83,83,77,72,8.89999961853027,4.69999980926514,6,4.69999980926514,FALSE,TRUE,xxxxx,45.00,-15.00,FALSE
6,3,FALSE,11,17,9/18/1993,11,H,TRUE,FALSE,18,70.1999969482422,128,Meadow Glen Golf Club,Meadow Glen,XXXXXX,XXXXXX,White,86,86,81,72,13.8999996185303,4.69999980926514,5,4.69999980926514,FALSE,TRUE,xxxxx,60.00,-5.00,FALSE
7,3,FALSE,20,17,10/3/1993,11,H,TRUE,FALSE,18,68.1999969482422,115,Blue Desert Golf Club,Blue Desert,XXXXXX,XXXXXX,White,84,84,79,71,15.5,4.69999980926514,5,6.59999990463257,FALSE,TRUE,xxxxx,45.00,15.00,FALSE
8,3,FALSE,16,17,3/21/2003,11,H,TRUE,FALSE,18,69.0999984741211,119,High Plains Golf Club,High Plains,XXXXXX,XXXXXX,White,88,87,74,71,17,13.1999998092651,14,13.1000003814697,FALSE,TRUE,xxxxx,45.00,5.00,FALSE
9,3,FALSE,14,3,3/3/2003,11,H,TRUE,FALSE,18,70.1999969482422,125,River Bend Golf Club,River Bend,XXXXXX,XXXXXX,Blue,91,91,82,72,0,15.1000003814697,17,13.1999998092651,FALSE,TRUE,xxxxx,65.00,-15.00,FALSE
10,3,FALSE,12,3,5/8/1994,11,H,TRUE,FALSE,18,69.8000030517578,125,Fraser Valley Golf Club,Fraser Valley,XXXXXX,XXXXXX,Blue,89,88,82,71,16.5,6.59999990463257,7,6.59999990463257,FALSE,TRUE,xxxxx,55.00,20.00,FALSE
