"id","golfer_id","score","course_name","created_at","updated_at"
1,11,39.00,"Robert A. Black","2009-04-01 00:00:00",NULL
2,11,41.00,"Robert A. Black","2009-04-02 00:00:00",NULL
3,11,44.00,"Robert A. Black","2009-04-08 00:00:00",NULL
4,11,44.00,"Robert A. Black","2009-04-10 00:00:00",NULL
5,12,43.00,"Robert A. Black","2009-04-15 00:00:00",NULL
6,6,45.00,"Robert A. Black","2008-04-16 00:00:00",NULL
7,2,47.00,"Robert A. Black","2008-04-16 00:00:00",NULL
8,8,40.00,"Robert A. Black","2008-04-16 00:00:00",NULL
9,4,38.00,"Robert A. Black","2008-04-16 00:00:00",NULL
10,3,46.00,"Robert A. Black","2008-04-16 00:00:00",NULL
11,7,40.00,"Robert A. Black","2008-04-16 00:00:00",NULL
12,10,43.00,"Robert A. Black","2008-04-16 00:00:00",NULL
13,6,37.00,"Robert A. Black","2009-04-23 00:00:00",NULL
14,2,41.00,"Robert A. Black","2009-04-23 00:00:00",NULL
15,8,41.00,"Robert A. Black","2009-04-23 00:00:00",NULL
16,4,43.00,"Robert A. Black","2009-04-23 00:00:00",NULL
17,3,50.00,"Robert A. Black","2008-04-23 00:00:00",NULL
18,7,43.00,"Robert A. Black","2008-04-23 00:00:00",NULL
19,10,41.00,"Robert A. Black","2008-04-23 00:00:00",NULL
20,5,42.00,"Robert A. Black","2008-04-23 00:00:00",NULL
21,6,39.00,"Robert A. Black","2008-04-30 00:00:00",NULL
22,2,41.00,"Robert A. Black","2008-04-30 00:00:00",NULL
23,8,39.00,"Robert A. Black","2008-04-30 00:00:00",NULL
24,4,41.00,"Robert A. Black","2008-04-30 00:00:00",NULL
25,3,44.00,"Robert A. Black","2008-04-30 00:00:00",NULL
26,7,41.00,"Robert A. Black","2008-04-30 00:00:00",NULL
27,10,47.00,"Robert A. Black","2008-04-30 00:00:00",NULL
28,5,45.00,"Robert A. Black","2008-04-30 00:00:00",NULL
29,1,38.00,"Robert A. Black","2008-04-30 00:00:00",NULL
30,6,36.00,"Robert A. Black","2008-05-07 00:00:00",NULL
31,8,41.00,"Robert A. Black","2008-05-07 00:00:00",NULL
32,4,40.00,"Robert A. Black","2008-05-07 00:00:00",NULL
33,3,44.00,"Robert A. Black","2008-05-07 00:00:00",NULL
34,7,45.00,"Robert A. Black","2008-05-07 00:00:00",NULL
35,10,49.00,"Robert A. Black","2008-05-07 00:00:00",NULL
36,1,35.00,"Robert A. Black","2008-05-07 00:00:00",NULL
37,2,43.00,"Robert A. Black","2008-05-14 00:00:00",NULL
38,8,38.00,"Robert A. Black","2008-05-14 00:00:00",NULL
39,4,37.00,"Robert A. Black","2008-05-14 00:00:00",NULL
40,3,46.00,"Robert A. Black","2008-05-14 00:00:00",NULL
41,7,41.00,"Robert A. Black","2008-05-14 00:00:00",NULL
42,10,48.00,"Robert A. Black","2008-05-14 00:00:00",NULL
43,5,37.00,"Robert A. Black","2008-05-14 00:00:00",NULL
44,1,38.00,"Robert A. Black","2008-05-14 00:00:00",NULL
45,6,37.00,"Robert A. Black","2008-06-04 00:00:00",NULL
46,2,41.00,"Robert A. Black","2008-06-04 00:00:00",NULL
47,8,38.00,"Robert A. Black","2008-06-04 00:00:00",NULL
48,4,36.00,"Robert A. Black","2008-06-04 00:00:00",NULL
49,3,43.00,"Robert A. Black","2008-06-04 00:00:00",NULL
50,7,40.00,"Robert A. Black","2008-06-04 00:00:00",NULL
51,10,41.00,"Robert A. Black","2008-06-04 00:00:00",NULL
52,9,44.00,"Robert A. Black","2008-06-04 00:00:00",NULL
53,9,47.00,"Robert A. Black","2008-06-11 00:00:00",NULL
54,10,44.00,"Robert A. Black","2008-06-11 00:00:00",NULL
55,7,42.00,"Robert A. Black","2008-06-11 00:00:00",NULL
56,3,45.00,"Robert A. Black","2008-06-11 00:00:00",NULL
57,4,41.00,"Robert A. Black","2008-06-11 00:00:00",NULL
58,8,37.00,"Robert A. Black","2008-06-11 00:00:00",NULL
59,2,41.00,"Robert A. Black","2008-06-11 00:00:00",NULL
60,6,41.00,"Robert A. Black","2008-06-11 00:00:00",NULL
61,2,42.00,"Robert A. Black","2008-06-11 00:00:00",NULL
62,1,35.00,"Robert A. Black","2008-06-11 00:00:00",NULL
63,8,36.00,"Robert A. Black","2008-06-11 00:00:00",NULL
64,4,40.00,"Robert A. Black","2008-06-11 00:00:00",NULL
65,3,49.00,"Robert A. Black","2008-06-11 00:00:00",NULL
66,7,39.00,"Robert A. Black","2008-06-11 00:00:00",NULL
67,10,45.00,"Robert A. Black","2008-06-11 00:00:00",NULL
68,1,36.00,"Robert A. Black","2008-07-16 00:00:00",NULL
69,2,44.00,"Robert A. Black","2008-07-16 00:00:00",NULL
70,3,44.00,"Robert A. Black","2008-07-16 00:00:00",NULL
71,4,41.00,"Robert A. Black","2008-07-16 00:00:00",NULL
72,7,44.00,"Robert A. Black","2008-07-16 00:00:00",NULL
73,8,41.00,"Robert A. Black","2008-07-16 00:00:00",NULL
74,10,42.00,"Robert A. Black","2008-07-16 00:00:00",NULL
75,1,35.00,"Robert A. Black","2008-07-22 00:00:00",NULL
76,2,44.00,"Robert A. Black","2008-07-22 00:00:00",NULL
77,3,43.00,"Robert A. Black","2008-07-22 00:00:00",NULL
78,4,38.00,"Robert A. Black","2008-07-22 00:00:00",NULL
79,8,41.00,"Robert A. Black","2008-07-22 00:00:00",NULL
80,10,45.00,"Robert A. Black","2008-07-22 00:00:00",NULL
81,9,37.00,"Robert A. Black","2008-07-22 00:00:00",NULL
82,2,41.00,"Robert A. Black","2008-07-30 00:00:00",NULL
83,3,46.00,"Robert A. Black","2008-07-30 00:00:00",NULL
84,4,38.00,"Robert A. Black","2008-07-30 00:00:00",NULL
85,12,40.00,"Robert A. Black","2008-07-30 00:00:00",NULL
86,7,44.00,"Robert A. Black","2008-07-30 00:00:00",NULL
87,8,38.00,"Robert A. Black","2008-07-30 00:00:00",NULL
88,10,46.00,"Robert A. Black","2008-07-30 00:00:00",NULL
89,1,43.00,"Robert A. Black","2008-08-12 00:00:00",NULL
90,2,40.00,"Robert A. Black","2008-08-12 00:00:00",NULL
91,3,47.00,"Robert A. Black","2008-08-12 00:00:00",NULL
92,4,39.00,"Robert A. Black","2008-08-12 00:00:00",NULL
93,8,37.00,"Robert A. Black","2008-08-12 00:00:00",NULL
94,10,48.00,"Robert A. Black","2008-08-12 00:00:00",NULL
95,9,43.00,"Robert A. Black","2008-08-12 00:00:00",NULL
96,1,35.00,"Robert A. Black","2008-08-27 00:00:00",NULL
97,2,44.00,"Robert A. Black","2008-08-27 00:00:00",NULL
98,4,40.00,"Robert A. Black","2008-08-27 00:00:00",NULL
99,7,37.00,"Robert A. Black","2008-08-27 00:00:00",NULL
100,8,37.00,"Robert A. Black","2008-08-27 00:00:00",NULL
101,10,41.00,"Robert A. Black","2008-08-27 00:00:00",NULL
102,2,44.00,"Robert A. Black","2008-09-03 00:00:00",NULL
103,3,44.00,"Robert A. Black","2008-09-03 00:00:00",NULL
104,4,39.00,"Robert A. Black","2008-09-03 00:00:00",NULL
105,7,41.00,"Robert A. Black","2008-09-03 00:00:00",NULL
106,8,39.00,"Robert A. Black","2008-09-03 00:00:00",NULL
107,10,49.00,"Robert A. Black","2008-09-03 00:00:00",NULL
108,1,41.00,"Robert A. Black","2008-09-17 00:00:00",NULL
109,2,43.00,"Robert A. Black","2008-09-17 00:00:00",NULL
110,3,45.00,"Robert A. Black","2008-09-17 00:00:00",NULL
111,4,36.00,"Robert A. Black","2008-09-17 00:00:00",NULL
112,12,39.00,"Robert A. Black","2008-09-17 00:00:00",NULL
113,7,43.00,"Robert A. Black","2008-09-17 00:00:00",NULL
114,8,36.00,"Robert A. Black","2008-09-17 00:00:00",NULL
115,10,40.00,"Robert A. Black","2008-09-17 00:00:00",NULL
116,9,36.00,"Robert A. Black","2008-09-17 00:00:00",NULL
117,1,40.00,"Robert A. Black","2008-09-21 00:00:00",NULL
118,2,37.00,"Robert A. Black","2008-09-21 00:00:00",NULL
119,3,50.00,"Robert A. Black","2008-09-21 00:00:00",NULL
